"X.OTU.ID","F3D0","F3D1","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","Kingdom","phylum","class","order","family","genus"
"Otu200",0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu201",1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu202",5,10,22,4,4,11,1,5,7,9,7,7,4,10,1,33,18,13,5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu203",0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu204",0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,1,0,0,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella"
"Otu205",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu206",1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu207",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","other","other"
"Otu208",1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,1,0,2,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum"
"Otu209",0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu21",74,99,200,14,52,114,50,39,52,2,4,1,2,6,37,35,8,6,6,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu210",0,2,1,1,2,2,1,3,0,2,0,0,1,2,4,6,6,4,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu211",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu212",0,5,9,1,7,6,2,3,5,3,0,0,2,1,3,2,4,2,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu213",0,0,0,0,1,2,0,1,1,0,1,0,0,0,2,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Phocea"
"Otu214",14,7,3,0,2,5,0,5,4,0,2,2,6,1,6,0,2,3,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu215",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,1,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","other"
"Otu216",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu217",4,0,1,0,0,0,0,0,0,1,0,2,0,1,2,1,2,6,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu218",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis"
"Otu219",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,0,3,"Bacteria","Firmicutes","other","other","other","other"
"Otu22",24,6,30,21,22,20,48,17,35,50,14,2,10,17,16,106,165,90,49,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu221",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu222",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu223",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","other"
"Otu23",0,0,1,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"Otu24",31,48,145,19,43,55,14,44,66,9,5,13,13,16,46,37,17,46,31,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Dysosmobacter"
"Otu25",28,31,41,9,0,22,4,9,15,53,11,26,11,18,23,46,45,150,89,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu26",43,144,108,8,46,22,7,49,93,36,4,4,10,10,35,17,22,37,16,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Eisenbergiella"
"Otu27",63,27,94,23,132,77,36,60,84,12,20,20,18,21,26,52,94,45,36,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu28",33,146,259,9,16,24,21,108,93,1,1,0,1,0,2,0,0,1,3,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu29",140,111,145,21,58,85,14,65,72,38,10,19,24,20,41,29,22,93,46,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu3",444,72,485,209,160,415,315,145,210,521,163,238,374,596,414,1199,948,963,489,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","other","other"
"Otu30",27,32,42,7,10,28,11,6,14,26,12,14,5,6,31,42,49,84,29,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu31",45,52,156,13,48,52,17,63,103,3,4,1,1,0,4,24,5,12,4,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu32",0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Otu33",2,4,4,4,4,14,3,25,39,60,12,39,35,43,101,40,11,4,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu34",31,33,42,4,24,23,9,25,38,44,5,36,2,15,32,22,50,62,38,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu35",17,22,85,8,18,21,10,22,30,13,7,11,2,7,24,39,22,44,40,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu36",50,65,89,29,7,5,1,8,4,26,2,7,3,2,29,18,22,70,38,"Bacteria","Firmicutes","Clostridia","other","other","other"
"Otu37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter"
"Otu38",5,73,54,9,50,24,6,16,30,8,0,1,1,1,11,10,16,35,16,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu39",63,54,167,10,10,27,8,44,24,12,5,5,3,9,15,14,16,59,20,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Otu4",394,188,1060,416,240,507,382,292,424,283,140,186,259,432,218,841,548,667,348,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum"
"Otu40",34,44,153,4,9,43,12,13,24,2,2,3,0,1,4,12,5,7,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta"
"Otu41",54,26,38,2,18,21,5,6,16,6,8,8,14,9,19,31,24,39,17,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu42",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Schaalia"
"Otu43",18,36,51,13,21,26,8,23,27,28,3,4,4,2,15,32,22,28,16,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu44",4,11,52,42,6,22,26,21,24,6,7,7,9,20,5,34,13,10,8,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Ihubacter"
"Otu45",13,23,45,5,22,27,19,52,109,3,4,1,3,2,7,30,23,36,9,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu46",0,0,0,0,0,0,0,0,0,17,9,3,21,13,38,88,61,46,40,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu47",0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
"Otu48",0,0,0,0,0,0,0,0,0,29,24,24,18,17,5,58,94,34,14,"Bacteria","Firmicutes","other","other","other","other"
"Otu49",59,46,214,6,59,10,5,36,39,6,3,4,3,1,5,19,14,8,3,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu5",172,136,380,467,151,531,542,577,648,215,214,128,143,377,209,576,531,484,195,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu50",81,45,87,14,1,7,19,10,30,0,1,0,0,3,0,26,1,1,0,"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma"
"Otu51",29,71,82,16,31,49,20,38,62,0,1,0,0,0,0,0,1,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu52",0,0,0,0,0,1,0,0,0,1,0,3,1,5,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu53",59,58,106,12,36,60,21,40,63,8,16,8,8,16,15,45,14,34,25,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu54",20,18,46,5,6,9,2,12,5,14,2,4,2,5,14,13,21,60,24,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu55",8,23,75,3,6,7,8,11,17,20,2,13,4,5,15,43,33,64,22,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu56",45,39,68,7,21,60,10,46,64,13,6,6,3,4,19,23,10,22,14,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu57",13,37,95,10,14,18,2,35,34,4,2,5,4,10,11,8,9,16,12,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Lawsonibacter"
"Otu58",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu59",25,0,4,15,0,0,0,0,0,16,27,10,21,6,3,30,77,28,17,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Otu6",697,77,160,24,20,18,9,0,4,481,279,347,539,757,457,1845,1362,995,325,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","other"
"Otu60",5,11,20,21,14,28,13,34,45,1,2,2,1,3,7,5,2,8,5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu61",54,50,115,13,27,34,10,31,54,4,15,14,15,12,42,54,24,23,14,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flintibacter"
"Otu62",4,2,6,1,4,4,2,3,2,2,0,0,1,2,1,5,1,1,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella"
"Otu63",21,2,54,16,12,6,10,8,14,5,7,3,4,13,2,25,26,8,9,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu64",3,15,37,5,11,17,5,13,24,8,4,2,1,9,19,16,5,13,11,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flintibacter"
"Otu65",26,3,37,21,13,8,18,9,17,16,0,4,1,6,5,13,18,17,3,"Bacteria","Firmicutes","other","other","other","other"
"Otu66",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"Otu67",6,3,3,0,0,2,1,0,2,32,5,12,9,6,12,27,26,90,51,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu68",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"Otu69",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu7",181,187,1329,433,204,270,248,293,452,350,82,98,40,138,70,93,579,589,124,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu70",65,50,81,10,30,25,8,13,16,5,2,4,8,4,3,23,22,22,12,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu71",126,0,2,0,1,0,0,1,0,6,4,2,6,14,2,24,30,13,7,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu72",20,82,127,4,37,60,4,37,83,3,4,6,5,5,16,11,10,18,11,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Otu73",4,10,33,7,9,15,7,7,11,16,1,13,6,4,12,7,14,67,18,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu74",5,15,12,3,11,9,4,12,13,12,3,7,0,2,9,39,6,22,11,"Bacteria","Firmicutes","other","other","other","other"
"Otu75",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria"
"Otu76",0,1,10,0,5,6,3,3,5,14,2,5,10,11,17,9,20,39,18,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Phocea"
"Otu77",0,0,2,0,41,29,6,44,72,6,1,0,0,4,32,20,15,14,15,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu78",22,5,38,2,4,24,5,16,22,21,5,6,6,5,22,30,16,13,12,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu79",27,12,48,1,13,32,5,22,25,3,1,5,2,1,13,9,5,3,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu8",401,130,467,249,163,392,277,195,290,344,232,218,339,565,307,1295,862,811,328,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","other"
"Otu80",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu81",5,4,11,1,10,5,1,2,6,25,4,17,3,11,13,10,34,58,44,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu82",0,4,20,4,6,5,1,7,8,10,3,3,3,5,13,12,9,24,11,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu83",9,6,43,9,6,11,2,9,15,12,5,6,10,9,13,13,28,53,12,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Schaedlerella"
"Otu84",1,31,4,14,18,16,19,12,8,5,4,3,9,3,3,19,18,7,2,"Bacteria","Candidatus_Saccharibacteria","Saccharibacteria_genera_incertae_sedis","other","other","other"
"Otu85",4,46,51,7,4,3,1,5,10,1,3,0,1,3,5,7,5,2,3,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu86",10,16,48,2,12,12,4,12,20,0,5,1,2,6,18,12,17,23,22,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Otu87",9,2,13,6,3,4,6,3,3,8,10,4,8,17,8,40,23,13,11,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella"
"Otu88",4,8,30,2,0,23,8,29,21,0,0,0,0,0,0,0,3,0,0,"Eukaryota","Plantae","Liliopsida","Poales","Poaceae","Zea"
"Otu89",0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"Otu9",158,103,666,318,216,254,295,201,218,137,74,78,169,251,98,287,218,293,161,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum"
"Otu90",0,1,12,9,2,6,3,3,4,9,2,8,1,4,7,8,9,24,10,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu91",37,16,49,4,5,4,1,5,8,4,0,4,1,2,5,7,14,27,13,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu92",2,8,25,5,12,30,8,11,9,1,0,0,0,0,1,0,0,1,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu93",12,5,12,2,6,8,0,9,7,2,0,2,2,1,5,13,7,10,8,"Bacteria","other","other","other","other","other"
"Otu94",24,11,21,1,3,19,7,16,30,5,0,2,4,8,18,10,12,25,11,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu95",20,2,6,5,5,3,6,3,13,13,5,6,6,10,12,6,15,22,6,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu96",0,2,7,7,8,8,4,2,3,5,3,3,4,6,4,13,13,13,11,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","other","other"
"Otu97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu98",6,23,20,2,2,3,2,7,3,9,1,1,1,1,3,0,3,19,9,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu99",0,0,0,0,0,0,2,11,5,3,9,3,9,15,10,12,10,5,6,"Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
